decile_score,priors_count,is_recid,time_in_jail,juv_crime_count,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,c_charge_degree_O,crime_category_Driving and Vehicle-Related Offenses,crime_category_Drug Offenses,crime_category_Miscellaneous Offenses,crime_category_Theft and Fraud,crime_category_Violent and Serious Crimes
1,0.0,0,0.0,0.0,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
3,0.0,1,0.004646840148698884,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
4,0.09302325581395349,1,0.00046468401486988845,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
8,0.023255813953488372,0,0.011617100371747211,0.047619047619047616,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
1,0.046511627906976744,0,0.011617100371747211,0.0,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
1,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
6,0.32558139534883723,1,0.0027881040892193307,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
4,0.06976744186046512,0,0.0,0.0,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
1,0.0,0,0.0009293680297397769,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
10,0.0,0,0.015334572490706319,0.047619047619047616,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
5,0.0,0,0.00046468401486988845,0.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
3,0.023255813953488372,1,0.0,0.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
4,0.0,0,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6,0.06976744186046512,1,0.0018587360594795538,0.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0.0,0,0.0,0.0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
3,0.0,0,0.0,0.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
4,0.0,0,0.0,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0.023255813953488372,1,0.006505576208178439,0.0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3,0.16279069767441862,1,0.0013940520446096654,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0.0,0,0.0,0.0,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10,0.06976744186046512,0,0.00046468401486988845,0.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
5,0.13953488372093023,1,0.00046468401486988845,0.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
